 1 366
 event,miss,iscat,jscat= 1 0 20 1
    -2   -0.114   -0.248      0.097  0.006    -0.31     0.17     0.56     0.78
     1   -0.120    0.120      0.283  0.010    -0.39     0.21     0.56     0.79
    -2    0.046   -0.287      0.194  0.006    -0.32     0.17     0.57     0.79
 event,miss,iscat,jscat= 1 0 125 106
     2    0.208   -0.017      0.632  0.006    -0.56     0.23     0.73     0.75
     2   -0.201   -0.127      1.849  0.006    -0.49     0.09     0.60     0.64
     2    0.129   -0.164      0.459  0.006    -0.52     0.23     0.83     0.86
     2   -0.122    0.021      2.022  0.006    -0.51     0.07     0.81     0.86
 event,miss,iscat,jscat= 1 0 68 24
     1   -0.120    0.120      0.283  0.010    -0.39     0.21     0.56     0.79
     3   -0.187   -0.427      0.547  0.199    -0.43     0.62     0.07     0.22
     1   -0.024   -0.329      0.489  0.010    -0.43     0.24     0.64     0.89
     3   -0.283    0.022      0.341  0.199    -0.60     0.23     0.56     0.89
 event,miss,iscat,jscat= 1 0 146 136
     2    0.173   -0.020     -0.097  0.006     0.49    -0.50    -0.86     0.89
    -1   -0.040    0.114     -1.230  0.010     0.53    -0.47    -0.76     0.81
     2    0.004    0.249     -1.114  0.006     0.52    -0.51    -0.88     0.92
    -1    0.129   -0.156     -0.212  0.010     0.53    -0.46    -0.88     0.92
 event,miss,iscat,jscat= 1 0 141 66
    -1    0.064   -0.085     -0.131  0.010     0.54    -0.90    -0.76     0.85
     1   -0.253    0.071     -0.459  0.010     0.86    -0.98    -0.32     0.39
    -1   -0.136   -0.119     -0.540  0.010     0.57    -0.95    -0.83     0.94
     1   -0.053    0.106     -0.051  0.010     0.60    -0.91    -0.79     0.94
 event,miss,iscat,jscat= 1 0 127 47
    -2   -0.144    0.249      0.479  0.006     1.09     0.20     0.70     0.76
    -2   -0.150    0.204      0.881  0.006     1.02     0.10     0.32     0.41
    -2   -0.126    0.158      0.295  0.006     1.04     0.28     0.87     0.95
    -2   -0.168    0.296      1.066  0.006     0.93     0.23     0.85     0.95
 event,miss,iscat,jscat= 1 0 132 22
    -2   -0.025    0.038      0.016  0.006     0.72     0.46    -0.46     0.80
     2   -0.196    0.292     -0.187  0.006     0.89    -0.09    -0.06     0.21
    -2   -0.172    0.316     -0.163  0.006     0.64     0.58    -0.41     0.96
